field	value
trigger_sha	81800ebcd46e7f8a4ea6eb5482de8401909b9cdd
A_TO_B	TRANSPORT_PASS
B_TO_C	TRANSPORT_PASS
DIRECT_A_TO_C	NOT_EXECUTED
